,order_id,product_id,quantity,date
0,DUEU-27693834,933,7,2024-03-01
1,DUEU-27693834,1645,36,2024-03-01
2,DUEU-27693834,1596,40,2024-03-01
3,DUEU-27693834,648,10,2024-03-01
4,DUEU-27693834,1413,6,2024-03-01
5,DUEU-27693834,1472,14,2024-03-01
6,DUEU-27693834,202,22,2024-03-01
7,DUEU-27693834,835,4,2024-03-01
8,DUEU-27693834,474,14,2024-03-01
9,DUEU-27693834,1272,36,2024-03-01
10,DUEU-27693834,821,22,2024-03-01
11,DUEU-27693834,360,22,2024-03-01
12,DUEU-27693834,624,40,2024-03-01
13,DUEU-27693834,1625,16,2024-03-01
14,DUEU-27693834,778,20,2024-03-01
15,DUEU-27693834,446,4,2024-03-01
16,DUEU-27693834,538,8,2024-03-01
17,VHJV-14331014,1550,15,2024-03-01
18,VHJV-14331014,11,34,2024-03-01
19,VHJV-14331014,588,12,2024-03-01
20,VHJV-14331014,1461,20,2024-03-01
21,VHJV-14331014,496,14,2024-03-01
22,VHJV-14331014,465,4,2024-03-01
23,VHJV-14331014,501,11,2024-03-01
24,VHJV-14331014,607,13,2024-03-01
25,VHJV-14331014,509,42,2024-03-01
26,VHJV-14331014,665,9,2024-03-01
27,VHJV-14331014,563,24,2024-03-01
28,VHJV-14331014,784,11,2024-03-01
29,VHJV-14331014,807,34,2024-03-01
30,VHJV-14331014,787,9,2024-03-01
31,VHJV-14331014,24,16,2024-03-01
32,VHJV-14331014,451,12,2024-03-01
33,VHJV-14331014,218,40,2024-03-01
34,VHJV-14331014,484,12,2024-03-01
35,VHJV-14331014,780,22,2024-03-01
36,MSXQ-45152143,420,7,2024-03-01
37,MSXQ-45152143,58,2,2024-03-01
38,MSXQ-45152143,283,24,2024-03-01
39,MSXQ-45152143,508,12,2024-03-01
40,MSXQ-45152143,470,11,2024-03-01
41,MSXQ-45152143,1204,8,2024-03-01
42,MSXQ-45152143,456,10,2024-03-01
43,MSXQ-45152143,189,8,2024-03-01
44,MSXQ-45152143,766,8,2024-03-01
45,LOSS-76956574,280,34,2024-03-01
46,LOSS-76956574,626,44,2024-03-01
47,LOSS-76956574,305,21,2024-03-01
48,LOSS-76956574,596,14,2024-03-01
49,LOSS-76956574,1226,10,2024-03-01
50,LOSS-76956574,605,10,2024-03-01
51,LOSS-76956574,1507,8,2024-03-01
52,LOSS-76956574,583,15,2024-03-01
53,LOSS-76956574,1594,16,2024-03-01
54,LOSS-76956574,758,34,2024-03-01
55,LOSS-76956574,1372,9,2024-03-01
56,LOSS-76956574,383,26,2024-03-01
57,LOSS-76956574,911,42,2024-03-01
58,LOSS-76956574,1411,4,2024-03-01
59,LOSS-76956574,379,32,2024-03-01
60,LOSS-76956574,1433,3,2024-03-01
61,LOSS-76956574,516,12,2024-03-01
62,LOSS-76956574,508,26,2024-03-01
63,LOSS-76956574,449,13,2024-03-01
64,LOSS-76956574,624,22,2024-03-01
65,OPAU-19106120,1238,15,2024-03-01
66,OPAU-19106120,1528,12,2024-03-01
67,OPAU-19106120,1527,13,2024-03-01
68,OPAU-19106120,1320,18,2024-03-01
69,OPAU-19106120,517,20,2024-03-01
70,OPAU-19106120,1663,16,2024-03-01
71,OPAU-19106120,606,22,2024-03-01
72,OPAU-19106120,429,42,2024-03-01
73,OPAU-19106120,646,30,2024-03-01
74,OPAU-19106120,596,14,2024-03-01
75,OPAU-19106120,930,36,2024-03-01
76,OPAU-19106120,1573,5,2024-03-01
77,BWJC-51197045,1409,5,2024-03-01
78,BWJC-51197045,509,20,2024-03-01
79,BWJC-51197045,530,6,2024-03-01
80,BWJC-51197045,814,5,2024-03-01
81,BWJC-51197045,352,12,2024-03-01
82,BWJC-51197045,1350,4,2024-03-01
83,BWJC-51197045,354,5,2024-03-01
84,BWJC-51197045,611,6,2024-03-01
85,BWJC-51197045,996,20,2024-03-01
86,BWJC-51197045,1392,18,2024-03-01
87,DALF-47566548,1367,9,2024-03-01
88,DALF-47566548,676,36,2024-03-01
89,DALF-47566548,491,14,2024-03-01
90,DALF-47566548,992,22,2024-03-01
91,DALF-47566548,322,16,2024-03-01
92,DALF-47566548,1286,16,2024-03-01
93,DALF-47566548,1518,10,2024-03-01
94,DALF-47566548,800,11,2024-03-01
95,DALF-47566548,817,13,2024-03-01
96,DALF-47566548,478,14,2024-03-01
97,DALF-47566548,1352,22,2024-03-01
98,DALF-47566548,644,36,2024-03-01
99,DALF-47566548,312,14,2024-03-01
100,DALF-47566548,1266,12,2024-03-01
101,DALF-47566548,1573,4,2024-03-01
102,DALF-47566548,1251,18,2024-03-01
103,DALF-47566548,1250,21,2024-03-01
104,DALF-47566548,39,42,2024-03-01
105,DALF-47566548,566,34,2024-03-01
106,DALF-47566548,514,13,2024-03-01
107,BZHU-92977894,630,14,2024-03-01
108,BZHU-92977894,452,9,2024-03-01
109,BZHU-92977894,1657,32,2024-03-01
110,BZHU-92977894,504,32,2024-03-01
111,BZHU-92977894,1457,18,2024-03-01
112,BZHU-92977894,347,9,2024-03-01
113,BZHU-92977894,1426,22,2024-03-01
114,BZHU-92977894,1383,40,2024-03-01
115,BZHU-92977894,514,15,2024-03-01
116,BZHU-92977894,519,38,2024-03-01
117,BZHU-92977894,1171,40,2024-03-01
118,BZHU-92977894,465,2,2024-03-01
119,BZHU-92977894,138,22,2024-03-01
120,BZHU-92977894,1311,6,2024-03-01
121,BZHU-92977894,864,13,2024-03-01
122,BZHU-92977894,208,3,2024-03-01
123,BZHU-92977894,1057,15,2024-03-01
124,BZHU-92977894,457,34,2024-03-01
125,BZHU-92977894,1637,12,2024-03-01
126,BZHU-92977894,601,18,2024-03-01
127,MULT-10194362,922,16,2024-03-01
128,MULT-10194362,1651,18,2024-03-01
129,MULT-10194362,354,13,2024-03-01
130,MULT-10194362,138,38,2024-03-01
131,MULT-10194362,671,22,2024-03-01
132,MULT-10194362,975,28,2024-03-01
133,MULT-10194362,1293,17,2024-03-01
134,MULT-10194362,452,17,2024-03-01
135,MULT-10194362,1100,28,2024-03-01
136,MULT-10194362,1394,26,2024-03-01
137,MULT-10194362,380,40,2024-03-01
138,MULT-10194362,189,20,2024-03-01
139,MULT-10194362,793,15,2024-03-01
140,MULT-10194362,787,12,2024-03-01
141,MULT-10194362,379,32,2024-03-01
142,CGLU-02678560,1191,10,2024-03-01
143,CGLU-02678560,920,36,2024-03-01
144,CGLU-02678560,1186,16,2024-03-01
145,CGLU-02678560,722,20,2024-03-01
146,CGLU-02678560,1072,7,2024-03-01
147,CGLU-02678560,527,8,2024-03-01
148,CGLU-02678560,313,36,2024-03-01
149,CGLU-02678560,643,30,2024-03-01
150,CGLU-02678560,1546,26,2024-03-01
151,UFYZ-93434889,1585,3,2024-03-01
152,UFYZ-93434889,217,18,2024-03-01
153,UFYZ-93434889,870,15,2024-03-01
154,UFYZ-93434889,1422,22,2024-03-01
155,UFYZ-93434889,238,16,2024-03-01
156,UFYZ-93434889,1054,22,2024-03-01
157,UFYZ-93434889,799,22,2024-03-01
158,UFYZ-93434889,1520,21,2024-03-01
159,ETDP-37053366,1257,8,2024-03-01
160,ETDP-37053366,559,32,2024-03-01
161,ETDP-37053366,793,8,2024-03-01
162,ETDP-37053366,566,26,2024-03-01
163,ETDP-37053366,218,32,2024-03-01
164,ETDP-37053366,481,22,2024-03-01
165,ETDP-37053366,1129,14,2024-03-01
166,ETDP-37053366,1208,4,2024-03-01
167,ETDP-37053366,1547,38,2024-03-01
168,DDXJ-12021177,755,34,2024-03-01
169,DDXJ-12021177,659,17,2024-03-01
170,DDXJ-12021177,1192,18,2024-03-01
171,DDXJ-12021177,623,18,2024-03-01
172,DDXJ-12021177,894,8,2024-03-01
173,DDXJ-12021177,1038,19,2024-03-01
174,DDXJ-12021177,445,4,2024-03-01
175,DDXJ-12021177,294,8,2024-03-01
176,DDXJ-12021177,1138,20,2024-03-01
177,DDXJ-12021177,382,44,2024-03-01
178,DDXJ-12021177,536,18,2024-03-01
179,DDXJ-12021177,1328,24,2024-03-01
180,DDXJ-12021177,1140,18,2024-03-01
181,DDXJ-12021177,1591,18,2024-03-01
182,DDXJ-12021177,909,3,2024-03-01
183,DDXJ-12021177,304,16,2024-03-01
184,DDXJ-12021177,1201,4,2024-03-01
185,DDXJ-12021177,619,34,2024-03-01
186,DDXJ-12021177,1676,17,2024-03-01
187,DDXJ-12021177,587,21,2024-03-01
188,GAFV-15191915,630,13,2024-03-01
189,GAFV-15191915,1596,24,2024-03-01
190,GAFV-15191915,1337,12,2024-03-01
191,GAFV-15191915,1631,19,2024-03-01
192,GAFV-15191915,1242,22,2024-03-01
193,GAFV-15191915,585,16,2024-03-01
194,GAFV-15191915,1532,22,2024-03-01
195,GAFV-15191915,355,17,2024-03-01
196,GAFV-15191915,1253,16,2024-03-01
197,JCCF-42586152,756,40,2024-03-01
198,JCCF-42586152,303,12,2024-03-01
199,JCCF-42586152,758,26,2024-03-01
200,JCCF-42586152,1520,10,2024-03-01
201,JCCF-42586152,381,30,2024-03-01
202,JCCF-42586152,1590,34,2024-03-01
203,JCCF-42586152,894,17,2024-03-01
204,JCCF-42586152,1496,4,2024-03-01
205,RIFM-19612538,1428,22,2024-03-01
206,RIFM-19612538,666,8,2024-03-01
207,RIFM-19612538,495,17,2024-03-01
208,RIFM-19612538,1315,38,2024-03-01
209,RIFM-19612538,1466,20,2024-03-01
210,RIFM-19612538,428,42,2024-03-01
211,RIFM-19612538,1667,32,2024-03-01
212,RIFM-19612538,508,20,2024-03-01
213,RIFM-19612538,781,12,2024-03-01
214,RIFM-19612538,870,8,2024-03-01
215,RIFM-19612538,1002,11,2024-03-01
216,RIFM-19612538,750,22,2024-03-01
217,RIFM-19612538,601,20,2024-03-01
218,RIFM-19612538,1099,19,2024-03-01
219,RIFM-19612538,1062,8,2024-03-01
220,RIFM-19612538,625,38,2024-03-01
221,RIFM-19612538,635,18,2024-03-01
222,RIFM-19612538,783,11,2024-03-01
223,RIFM-19612538,323,18,2024-03-01
224,ZOUP-11625318,1381,16,2024-03-01
225,ZOUP-11625318,1592,18,2024-03-01
